,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Salary
0,39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
1,50,Self-emp-not-inc,83311,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
2,38,Private,215646,High School,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
3,53,Private,234721,Compulsory,7,Married,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
4,28,Private,338409,Bachelors,13,Married,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
5,37,Private,284582,Masters,14,Married,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
6,49,Private,160187,Compulsory,5,Married,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K
7,52,Self-emp-not-inc,209642,High School,9,Married,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
8,31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K
9,42,Private,159449,Bachelors,13,Married,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50K
10,37,Private,280464,Bachelors,10,Married,Exec-managerial,Husband,Black,Male,0,0,80,United-States,>50K
11,30,State-gov,141297,Bachelors,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
12,23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
13,32,Private,205019,Associate,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K
14,40,Private,121772,Associate,11,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Others,>50K
15,34,Private,245487,Compulsory,4,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K
16,25,Self-emp-not-inc,176756,High School,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
17,32,Private,186824,High School,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
18,38,Private,28887,Compulsory,7,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
19,43,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K
20,40,Private,193524,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
21,54,Private,302146,High School,9,Divorced,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
22,35,Federal-gov,76845,Compulsory,5,Married,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
23,43,Private,117037,Compulsory,7,Married,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K
24,59,Private,109015,High School,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
25,56,Local-gov,216851,Bachelors,13,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
26,19,Private,168294,High School,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
27,54,Other-service,180211,Bachelors,10,Married,Other-service,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K
28,39,Private,367260,High School,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K
29,49,Private,193366,High School,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,23,Local-gov,190709,Associate,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K
31,20,Private,266015,Bachelors,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,<=50K
32,45,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,<=50K
33,30,Federal-gov,59951,Bachelors,10,Married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
34,22,State-gov,311512,Bachelors,10,Married,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K
35,48,Private,242406,Compulsory,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,<=50K
36,21,Private,197200,Bachelors,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
37,19,Private,544091,High School,9,Married,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K
38,31,Private,84154,Bachelors,10,Married,Sales,Husband,White,Male,0,0,38,Others,>50K
39,48,Self-emp-not-inc,265477,Associate,12,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
40,31,Private,507875,Compulsory,5,Married,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
41,53,Self-emp-not-inc,88506,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
42,24,Private,172987,Bachelors,13,Married,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
43,49,Private,94638,High School,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
44,25,Private,289980,High School,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K
45,57,Federal-gov,337895,Bachelors,13,Married,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
46,53,Private,144361,High School,9,Married,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K
47,44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
48,41,State-gov,101603,Associate,11,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
49,29,Private,271466,Associate,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
50,25,Private,32275,Bachelors,10,Married,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K
51,18,Private,226956,High School,9,Never-married,Other-service,Own-child,White,Female,0,0,30,Others,<=50K
52,47,Private,51835,Prof-school,15,Married,Prof-specialty,Wife,White,Female,0,1902,60,Others,>50K
53,50,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
54,47,Self-emp-inc,109832,High School,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
55,43,Private,237993,Bachelors,10,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
56,46,Private,216666,Compulsory,3,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
57,35,Private,56352,Associate,11,Married,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
58,41,Private,147372,High School,9,Married,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
59,30,Private,188146,High School,9,Married,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K
60,30,Private,59496,Bachelors,13,Married,Sales,Husband,White,Male,2407,0,40,United-States,<=50K
61,32,Other-service,293936,Compulsory,4,Married,Other-service,Not-in-family,White,Male,0,0,40,Others,<=50K
62,48,Private,149640,High School,9,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
63,42,Private,116632,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
64,29,Private,105598,Bachelors,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K
65,36,Private,155537,High School,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
66,28,Private,183175,Bachelors,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
67,53,Private,169846,High School,9,Married,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
68,49,Self-emp-inc,191681,Bachelors,10,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
69,25,Other-service,200681,Bachelors,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
70,19,Private,101509,Bachelors,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K
71,31,Private,309974,Bachelors,13,Divorced,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
72,29,Self-emp-not-inc,162298,Bachelors,13,Married,Sales,Husband,White,Male,0,0,70,United-States,>50K
73,23,Private,211678,Bachelors,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
74,79,Private,124744,Bachelors,10,Married,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K
75,27,Private,213921,High School,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50K
76,40,Private,32214,Associate,12,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
77,67,Other-service,212759,Compulsory,6,Married,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
78,18,Private,309634,Compulsory,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
79,31,Local-gov,125927,Compulsory,4,Married,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
80,18,Private,446839,High School,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
81,52,Private,276515,Bachelors,13,Married,Other-service,Husband,White,Male,0,0,40,Cuba,<=50K
82,46,Private,51618,High School,9,Married,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
83,59,Private,159937,High School,9,Married,Sales,Husband,White,Male,0,0,48,United-States,<=50K
84,44,Private,343591,High School,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50K
85,53,Private,346253,High School,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
86,49,Local-gov,268234,High School,9,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
87,33,Private,202051,Masters,14,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
88,30,Private,54334,Compulsory,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
89,43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
90,57,Private,249977,Associate,11,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
91,37,Private,286730,Bachelors,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
92,28,Private,212563,Bachelors,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K
93,30,Private,117747,High School,9,Married,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,Others,<=50K
94,34,Local-gov,226296,Bachelors,13,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
95,29,Local-gov,115585,Bachelors,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
96,48,Self-emp-not-inc,191277,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K
97,37,Private,202683,Bachelors,10,Married,Sales,Husband,White,Male,0,0,48,United-States,>50K
98,48,Private,171095,Associate,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,<=50K
99,32,Federal-gov,249409,High School,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
100,76,Private,124191,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
101,44,Private,198282,Bachelors,13,Married,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
102,47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
103,20,Private,188300,Bachelors,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
104,29,Private,103432,High School,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
105,32,Self-emp-inc,317660,High School,9,Married,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
106,17,Other-service,304873,Compulsory,6,Never-married,Other-service,Own-child,White,Female,34095,0,32,United-States,<=50K
107,30,Private,194901,Compulsory,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
108,31,Local-gov,189265,High School,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
109,42,Private,124692,High School,9,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
110,24,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
111,38,Private,65324,Prof-school,15,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
112,56,Self-emp-not-inc,335605,High School,9,Married,Other-service,Husband,White,Male,0,1887,50,Canada,>50K
113,28,Private,377869,Bachelors,10,Married,Sales,Wife,White,Female,4064,0,25,United-States,<=50K
114,36,Private,102864,High School,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
115,53,Private,95647,Compulsory,5,Married,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
116,56,Self-emp-inc,303090,Bachelors,10,Married,Sales,Husband,White,Male,0,0,50,United-States,<=50K
